t,day,sin_d,cos_d,traffic,competitor_price,price,demand,revenue,oracle_price,oracle_expected_revenue,forced_exploration
96,5,-0.9749279121818236,-0.2225209339563146,88.0,40.87944054611775,50.0,0.0,0.0,15.23619269132577,232.14156772720884,False
97,6,-0.7818314824680299,0.6234898018587334,198.0,39.374027688239806,50.0,0.0,0.0,15.729930538662554,247.43071475114883,False
98,0,0.0,1.0,486.0,41.038290839576185,50.0,0.0,0.0,19.619572709894044,384.9276333188191,False
99,1,0.7818314824680298,0.6234898018587336,761.0,39.38839861572202,50.0,0.0,0.0,22.927186235469165,525.6558686758867,False
100,2,0.9749279121818236,-0.22252093395631434,901.0,48.75629334432436,50.0,2.2684807418179918,113.42403709089959,27.28526171524107,744.4855068692001,False
101,3,0.43388373911755823,-0.900968867902419,680.0,47.09618704824928,50.0,0.0,0.0,24.45841493513109,598.2140611390435,False
102,4,-0.433883739117558,-0.9009688679024191,314.0,23.19730016283806,50.0,0.0,0.0,13.955925735543167,194.76786313599607,False
103,5,-0.9749279121818236,-0.2225209339563146,113.0,32.8098295250228,50.0,0.0,0.0,13.468789936052033,181.40830234149652,False
104,6,-0.7818314824680299,0.6234898018587334,179.0,23.626602005524603,50.0,0.0,0.0,11.603074117983754,134.63132898742447,False
105,0,0.0,1.0,536.0,18.398833964896795,50.0,0.0,0.0,14.459708491224198,209.08316965118118,False
106,1,0.7818314824680298,0.6234898018587336,867.0,27.77852524134005,50.0,0.0,0.0,21.084717891873673,444.56532857989777,False
107,2,0.9749279121818236,-0.22252093395631434,898.0,18.326251127599907,50.0,0.0,0.0,19.647751161059958,386.0341256869329,False
108,3,0.43388373911755823,-0.900968867902419,667.0,16.209439714203818,50.0,0.0,0.0,16.606728101619723,275.7834182411262,False
109,4,-0.433883739117558,-0.9009688679024191,348.0,8.514725470926118,50.0,0.0,0.0,10.62528206256518,112.89661890906936,False
110,5,-0.9749279121818236,-0.2225209339563146,135.0,15.567693333677873,50.0,0.0,0.0,9.378255888215802,87.95168350485437,False
111,6,-0.7818314824680299,0.6234898018587334,192.0,12.395722315470655,50.0,0.0,0.0,8.925354195470266,79.66194751459868,False
112,0,0.0,1.0,501.0,15.978657489795033,50.0,0.0,0.0,13.504664372448758,182.3759598124868,False
113,1,0.7818314824680298,0.6234898018587336,817.0,8.837350827080531,50.0,0.0,0.0,15.849424288308796,251.2042502708328,False
114,2,0.9749279121818236,-0.22252093395631434,852.0,13.961032003498433,50.0,0.0,0.0,18.09644638003459,327.481371585467,False
115,3,0.43388373911755823,-0.900968867902419,689.0,17.30174137748136,50.0,0.0,0.0,17.09980351743911,292.40328033502294,False
116,4,-0.433883739117558,-0.9009688679024191,321.0,12.505793445616302,50.0,0.0,0.0,11.353049056237726,128.8917228733403,False
117,5,-0.9749279121818236,-0.2225209339563146,110.0,24.32629894346936,50.0,0.0,0.0,11.317907290663674,128.09502544005795,False
118,6,-0.7818314824680299,0.6234898018587334,171.0,10.382038157087223,50.0,0.0,0.0,8.211933155874409,67.43584615654943,False
119,0,0.0,1.0,497.0,11.544114137534233,50.0,0.0,0.0,12.356028534383558,152.6714411425007,False
120,1,0.7818314824680298,0.6234898018587336,824.0,26.83299123048424,50.0,0.0,0.0,20.418334389159725,416.90837922754264,False
121,2,0.9749279121818236,-0.22252093395631434,859.0,27.80527987590053,50.0,0.0,0.0,21.627508348135116,467.7491173486541,False
122,3,0.43388373911755823,-0.900968867902419,686.0,28.4497615542748,50.0,0.0,0.0,19.856808561637468,394.29284625351903,False
123,4,-0.433883739117558,-0.9009688679024191,307.0,33.281626984614306,50.0,0.0,0.0,16.40700744098723,269.1898931686103,False
124,5,-0.9749279121818236,-0.2225209339563146,100.0,45.97079804674286,50.0,0.0,0.0,16.629032066482047,276.5247074680882,False
125,6,-0.7818314824680299,0.6234898018587334,192.0,37.42874080831243,50.0,0.0,0.0,15.18360881868071,230.54197675871865,False
126,0,0.0,1.0,522.0,36.613342006374666,50.0,0.0,0.0,18.873335501593665,356.20279295571584,False
127,1,0.7818314824680298,0.6234898018587336,802.0,32.341873119531336,50.0,0.0,0.0,21.575554861421494,465.5045675782087,False
128,2,0.9749279121818236,-0.22252093395631434,887.0,42.800613245802936,50.0,2.2464338448520413,112.32169224260207,25.656341690610716,658.2478689453695,False
129,3,0.43388373911755823,-0.900968867902419,674.0,38.62625978702347,50.0,0.0,0.0,22.280933119824635,496.4399806900983,False
130,4,-0.433883739117558,-0.9009688679024191,328.0,34.20862733034507,50.0,0.0,0.0,16.84875752741992,283.8806302177894,False
131,5,-0.9749279121818236,-0.2225209339563146,100.0,44.58288055752374,50.0,0.0,0.0,16.282052694177267,265.1052399359652,False
132,6,-0.7818314824680299,0.6234898018587334,200.0,34.20362032262519,50.0,0.0,0.0,14.457328697258902,209.01435306058576,False
133,0,0.0,1.0,505.0,25.914818874504718,50.0,0.0,0.0,16.02870471862618,256.91937495690917,False
134,1,0.7818314824680298,0.6234898018587336,794.0,32.7495630999246,50.0,0.0,0.0,21.597477356519814,466.4510281653861,False
135,2,0.9749279121818236,-0.22252093395631434,899.0,21.746787154390873,50.0,0.0,0.0,20.512885167757698,420.7784579056138,False
136,3,0.43388373911755823,-0.900968867902419,647.0,22.123932777457746,50.0,0.0,0.0,17.885351367433202,319.8857935365447,False
137,4,-0.433883739117558,-0.9009688679024191,322.0,17.70421011953095,50.0,0.0,0.0,12.662653224716388,160.34278668942034,False
138,5,-0.9749279121818236,-0.2225209339563146,121.0,18.687807153734806,50.0,0.0,0.0,10.018284343230036,100.36602118180807,False
139,6,-0.7818314824680299,0.6234898018587334,212.0,5.505801212232232,50.0,0.0,0.0,7.402873919660661,54.802542270391996,False
140,0,0.0,1.0,519.0,8.193323160520839,50.0,0.0,0.0,11.738330790130211,137.78840973851896,False
141,1,0.7818314824680298,0.6234898018587336,813.0,12.032764764180106,50.0,0.0,0.0,16.60827777258369,275.8348905712975,False
142,2,0.9749279121818236,-0.22252093395631434,871.0,9.751772576239317,50.0,0.0,0.0,17.234131523219812,297.0152893596388,False
143,3,0.43388373911755823,-0.900968867902419,676.0,5.780104743056136,50.0,0.0,0.0,14.0893943588328,198.51103339870954,False
144,4,-0.433883739117558,-0.9009688679024191,317.0,14.912612815898404,50.0,0.0,0.0,11.914753898808252,141.96136046916644,False
145,5,-0.9749279121818236,-0.2225209339563146,118.0,5.0,50.0,0.0,0.0,6.566332554796333,43.116723220178145,False
146,6,-0.7818314824680299,0.6234898018587334,181.0,15.708556984695633,50.0,0.0,0.0,9.64356286277651,92.99830468832229,False
147,0,0.0,1.0,545.0,16.6161701529774,50.0,0.0,0.0,14.10404253824435,198.92401592060614,False
148,1,0.7818314824680298,0.6234898018587336,819.0,20.586963664239008,50.0,0.0,0.0,18.806827497598412,353.6967605244238,False
149,2,0.9749279121818236,-0.22252093395631434,862.0,23.8535853496251,50.0,0.0,0.0,20.669584716566256,427.23173235530936,False
150,3,0.43388373911755823,-0.900968867902419,686.0,29.355623517158463,50.0,0.0,0.0,20.083274052358384,403.3378966621315,False
151,4,-0.433883739117558,-0.9009688679024191,321.0,17.92805268637712,50.0,0.0,0.0,12.708613866427932,161.5088664059643,False
152,5,-0.9749279121818236,-0.2225209339563146,109.0,31.19314154208476,50.0,0.0,0.0,13.024617940317523,169.64067249124108,False
153,6,-0.7818314824680299,0.6234898018587334,176.0,37.963806690304544,50.0,0.0,0.0,15.157375289178738,229.74602565700621,False
154,0,0.0,1.0,535.0,28.754241153261702,50.0,0.0,0.0,17.038560288315427,290.3125366985595,False
155,1,0.7818314824680298,0.6234898018587336,777.0,41.154290387298005,50.0,3.869396930139515,193.46984650697573,23.528659178363164,553.5978027315731,False
156,2,0.9749279121818236,-0.22252093395631434,934.0,36.96904324672609,50.0,0.0,0.0,24.668449190841503,608.5323854811288,False
157,3,0.43388373911755823,-0.900968867902419,654.0,40.275659616621056,50.0,0.0,0.0,22.49328307722403,505.947783592133,False
158,4,-0.433883739117558,-0.9009688679024191,341.0,45.1055281518136,50.0,0.0,0.0,19.702982732787053,388.20752856850476,False
159,5,-0.9749279121818236,-0.2225209339563146,95.0,37.916473067960446,50.0,0.0,0.0,14.565450821786445,212.15235764187943,False
160,6,-0.7818314824680299,0.6234898018587334,200.0,41.77532413999334,50.0,0.0,0.0,16.350254651600938,267.3308271721981,False
161,0,0.0,1.0,515.0,38.21434689827942,50.0,0.0,0.0,19.203586724569856,368.7777430880756,False
162,1,0.7818314824680298,0.6234898018587336,791.0,24.923177539865705,50.0,0.0,0.0,19.61088096650509,384.5866522824316,False
163,2,0.9749279121818236,-0.22252093395631434,887.0,32.5008927777361,50.0,0.0,0.0,23.081411573594007,532.7515602296394,False
164,3,0.43388373911755823,-0.900968867902419,674.0,28.665649335290855,50.0,0.0,0.0,19.79078050689148,391.6749930719558,False
165,4,-0.433883739117558,-0.9009688679024191,337.0,21.04762772277345,50.0,0.0,0.0,13.648507625527014,186.28176040406905,False
166,5,-0.9749279121818236,-0.2225209339563146,112.0,29.847257770930597,50.0,0.0,0.0,12.718146997528983,161.75126305075548,False
167,6,-0.7818314824680299,0.6234898018587334,185.0,19.17757491530647,50.0,0.0,0.0,10.55081734542922,111.31974665661009,False
168,0,0.0,1.0,506.0,15.393181722717957,50.0,0.0,0.0,13.40829543067949,179.78238635638047,False
169,1,0.7818314824680298,0.6234898018587336,840.0,8.792305741538252,50.0,0.0,0.0,16.068163016923226,258.1858627384193,False
170,2,0.9749279121818236,-0.22252093395631434,893.0,5.559814444528154,50.0,0.0,0.0,16.40614199029202,269.161495005623,False
171,3,0.43388373911755823,-0.900968867902419,692.0,9.436195498754673,50.0,0.0,0.0,15.163417047757434,229.92921656422078,False
172,4,-0.433883739117558,-0.9009688679024191,304.0,5.0,50.0,0.0,0.0,9.306600694833651,86.6128164930782,False
173,5,-0.9749279121818236,-0.2225209339563146,127.0,19.326952044202624,50.0,0.0,0.0,10.23807056584699,104.81808891126249,False
174,6,-0.7818314824680299,0.6234898018587334,171.0,23.600951271821998,50.0,0.0,0.0,11.516661434558102,132.6334905982379,False
175,0,0.0,1.0,457.0,13.000042747072696,50.0,0.0,0.0,12.320010686768175,151.78266332208204,False
176,1,0.7818314824680298,0.6234898018587336,786.0,13.689061266759097,50.0,0.0,0.0,16.752351898228437,280.6412941220779,False
177,2,0.9749279121818236,-0.22252093395631434,895.0,14.908335128508623,50.0,0.0,0.0,18.763272161287137,352.06038219853286,False
178,3,0.43388373911755823,-0.900968867902419,675.0,25.12937631635114,50.0,0.0,0.0,18.916712252156554,357.84200243088986,False
179,4,-0.433883739117558,-0.9009688679024191,305.0,14.84376616414451,50.0,0.0,0.0,11.77754223586978,138.7105011176965,False
180,5,-0.9749279121818236,-0.2225209339563146,114.0,29.678391965737305,50.0,0.0,0.0,12.69593054623066,161.18665243471273,False
181,6,-0.7818314824680299,0.6234898018587334,176.0,25.496074030867522,50.0,0.0,0.0,12.040442124319483,144.97224654908706,False
182,0,0.0,1.0,510.0,29.899422655346328,50.0,0.0,0.0,17.074855663836583,291.5506959408522,False
183,1,0.7818314824680298,0.6234898018587336,832.0,32.011947955291696,50.0,0.0,0.0,21.793073570361585,474.9380556431926,False
184,2,0.9749279121818236,-0.22252093395631434,905.0,39.11267867200283,50.0,0.0,0.0,24.91435804716069,620.7252369021206,False
185,3,0.43388373911755823,-0.900968867902419,650.0,39.62104616797717,50.0,0.0,0.0,22.28962971506306,496.8275928346222,False
186,4,-0.433883739117558,-0.9009688679024191,322.0,36.65223264183211,50.0,0.0,0.0,17.399658855291676,302.74812828053007,False
187,5,-0.9749279121818236,-0.2225209339563146,102.0,32.13468256290458,50.0,0.0,0.0,13.190003195522479,173.9761842978932,False
188,6,-0.7818314824680299,0.6234898018587334,192.0,29.508181391105495,50.0,0.0,0.0,13.203468964378978,174.33159269331887,False
189,0,0.0,1.0,486.0,36.54125231038255,50.0,0.0,0.0,18.49531307759564,342.0766058382803,False
190,1,0.7818314824680298,0.6234898018587336,849.0,38.56151930007678,50.0,0.0,0.0,23.600466406557857,556.9820146070659,False
191,2,0.9749279121818236,-0.22252093395631434,884.0,37.686181226621216,50.0,0.0,0.0,24.347733685815285,592.8121356353844,False
192,3,0.43388373911755823,-0.900968867902419,684.0,34.671105975026805,50.0,0.0,0.0,21.39214466682547,457.6238534463894,False
193,4,-0.433883739117558,-0.9009688679024191,307.0,32.08027592162541,50.0,0.0,0.0,16.106669675240006,259.424808027296,False
194,5,-0.9749279121818236,-0.2225209339563146,103.0,33.26445354889461,50.0,0.0,0.0,13.482445942019986,181.77634857949118,False
195,6,-0.7818314824680299,0.6234898018587334,174.0,26.280148671569385,50.0,0.0,0.0,12.216460784494949,149.24191409910293,False
